,x,y,V,bounce
1,961.0,856.0,22.707045965793675,0
2,954.0,852.0,0.0,0
3,954.0,852.0,0.0,0
4,954.0,852.0,0.0,0
5,954.0,852.0,0.0,0
6,954.0,852.0,0.0,0
7,954.0,852.0,0.0,0
8,954.0,852.0,16.145012856402982,0
9,959.0,854.0,12.12326481110502,0
10,960.0,850.0,0.0,0
11,960.0,850.0,0.0,0
12,960.0,850.0,0.0,0
13,960.0,850.0,0.0,0
14,960.0,850.0,0.0,0
15,960.0,850.0,0.0,0
16,960.0,850.0,0.0,0
17,960.0,850.0,4.182313639957838,0
18,959.0,851.0,0.0,0
19,959.0,851.0,0.0,0
20,959.0,851.0,0.0,0
21,959.0,851.0,2.9082699405560537,0
22,958.0,851.0,2.924724824539689,0
23,959.0,851.0,0.0,0
24,959.0,851.0,0.0,0
25,959.0,851.0,0.0,0
26,959.0,851.0,0.0,0
27,959.0,851.0,0.0,0
28,959.0,851.0,15.9614741976682,0
29,961.0,856.0,136.47516009772087,0
30,938.2,817.4,132.59019218287864,0
31,915.4,778.8,102.51049417261083,0
32,892.6,740.2,132.3629230842021,0
33,869.8,701.6,129.8261571467977,0
34,847.0,663.0,54.35688600501727,0
35,845.0,639.0,50.33510693730667,0
36,843.0,617.0,59.39741034977772,0
37,841.0,597.0,0.0,0
38,841.0,597.0,43.71467804344371,0
39,838.0,582.0,43.83470638680747,0
40,835.0,563.0,38.719135830960994,0
41,835.0,550.0,29.90852419947596,0
42,833.0,540.0,39.56581112488225,0
43,830.0,527.0,0.0,0
44,830.0,527.0,29.79236459481339,0
45,829.0,517.0,20.678966496501314,0
46,828.0,510.0,18.25620124123895,0
47,824.0,503.0,11.836212327627013,0
48,823.0,499.0,10.798775604451615,0
49,821.0,496.0,0.0,0
50,821.0,496.0,2.9507304533552454,0
51,820.0,496.0,5.954181394886646,0
52,818.0,496.0,11.932535138541372,0
53,818.0,500.0,13.252688672596237,0
54,816.0,504.0,24.09921451524757,0
55,815.0,512.0,0.0,0
56,815.0,512.0,18.34072505155028,0
57,813.0,518.0,123.22086320625601,0
58,852.0,506.25,123.34950991801703,0
59,891.0,494.5,122.06872575021347,0
60,930.0,482.75,123.50583027058002,0
61,969.0,471.0,122.85711033802293,0
62,1008.0,459.25,122.76185399566016,0
63,1047.0,447.5,116.75434241204505,0
64,1086.0,435.75,118.58278361648472,0
65,1125.0,424.0,91.090875724496,0
66,1155.5,418.5,91.5430639429338,0
67,1186.0,413.0,0.0,0
68,1186.0,413.0,77.06397784706257,0
69,1212.0,412.0,120.51000915148184,1
70,1230.3333333333333,376.3333333333333,121.13191634055316,0
71,1248.6666666666667,340.6666666666667,118.24575098436596,0
72,1267.0,305.0,67.41939201801479,0
73,1278.5,285.5,68.89384345023983,0
74,1290.0,266.0,68.6961155496232,0
75,1301.5,246.5,67.72764122811986,0
76,1313.0,227.0,67.108547643602,0
77,1327.0,209.0,45.9402072089042,0
78,1312.0,212.33333333333334,46.685399218788255,0
79,1297.0,215.66666666666666,46.32353591737116,0
80,1282.0,219.0,46.26882953451079,0
81,1267.0,222.33333333333334,45.57041926828838,0
82,1252.0,225.66666666666666,45.39996223719376,0
83,1237.0,229.0,82.83290095078534,0
84,1210.0,238.0,76.5371529986789,0
85,1187.0,250.0,0.0,0
86,1187.0,250.0,73.12330602774378,0
87,1166.0,263.0,85.98997898627064,0
88,1142.0,279.0,95.73032251869012,0
89,1116.5,298.0,91.01031268282858,0
90,1091.0,317.0,88.42089285839769,0
91,1067.0,335.0,0.0,0
92,1067.0,335.0,94.68661132503486,0
93,1043.0,356.0,102.47654405679124,0
94,1018.0,381.0,98.33257617563159,0
95,992.0,403.0,98.14319379918713,0
96,970.3333333333334,428.0,100.50506583189915,0
97,948.6666666666666,453.0,76.174725869836,0
98,927.0,478.0,97.76873685670257,0
99,905.3333333333334,503.0,101.2141350678608,0
100,883.6666666666666,528.0,98.1497888234321,0
101,862.0,553.0,123.31519170134418,0
102,837.0,588.0,136.17993905874368,0
103,810.0,627.0,0.0,0
104,810.0,627.0,125.7092040847264,0
105,787.0,663.0,137.41146970530366,0
106,759.0,700.0,39.435687010912176,1
107,742.0,695.0,48.779655024626415,0
108,726.0,691.0,59.460106209544115,0
109,706.0,691.0,0.0,0
110,706.0,691.0,34.27902792860599,0
111,691.0,692.0,52.769984600742085,0
112,673.0,694.0,51.6154462667831,0
113,656.0,698.0,61.15997706159603,0
114,637.0,706.0,60.00901446870399,0
115,619.0,715.0,0.0,0
116,619.0,715.0,69.54959538443138,0
117,599.0,727.0,54.60154399842609,0
118,583.0,736.0,113.06431936537028,0
119,588.0,698.0,160.72058335667134,0
120,608.5,646.5,159.85080142815508,0
121,629.0,595.0,9.398830094809831,0
122,628.0,592.0,110.54258480624661,0
123,646.0,546.0,108.41928367161862,0
124,662.0,512.75,110.33098342370171,0
125,678.0,479.5,111.43231603860917,0
126,694.0,446.25,111.0131658819839,0
127,710.0,413.0,0.0,0
128,710.0,413.0,81.38463489138996,0
129,723.0,389.0,62.82204123614123,0
130,734.0,371.0,57.64666385567233,0
131,745.0,355.0,51.509919912711894,0
132,755.0,341.0,40.13150832762687,0
133,765.0,331.0,0.0,0
134,765.0,331.0,35.96243292265654,0
135,773.0,322.0,29.811597818523502,0
136,781.0,316.0,27.767786574916382,0
137,789.0,311.0,25.250185546097672,0
138,797.0,308.0,24.08582569082731,0
139,805.0,307.0,4.156415681758331,0
140,804.0,308.0,23.269145495101693,0
141,812.0,307.0,12.198414756657247,0
142,816.0,308.0,55.917449730942494,1
143,822.0,290.0,64.09490608522009,0
144,827.0,269.0,53.57758904356671,0
145,828.0,251.0,0.0,0
146,828.0,251.0,44.29981962896195,0
147,832.0,236.66666666666666,44.54398539069243,0
148,836.0,222.33333333333334,33.64547101913071,0
149,840.0,208.0,958.8756185701066,0
150,899.0,530.5,970.677347917652,0
151,958.0,853.0,6.574427017839738,0
152,959.0,851.0,6.5907589605866965,0
153,958.0,853.0,6.501254578380568,0
154,959.0,851.0,5.104181013777292,0
155,958.0,853.0,0.0,0
156,958.0,853.0,2.9881813667552226,0
157,958.0,854.0,13.108679386157007,0
158,960.0,850.0,0.0,0
159,960.0,850.0,0.0,0
160,960.0,850.0,0.0,0
161,960.0,850.0,0.0,0
162,960.0,850.0,0.0,0
163,960.0,850.0,0.0,0
164,960.0,850.0,0.0,0
165,960.0,850.0,10.691782652293654,0
166,958.0,853.0,6.496782598421914,0
167,959.0,851.0,0.0,0
168,959.0,851.0,6.614240895072212,0
169,958.0,853.0,0.0,0
170,958.0,853.0,0.0,0
171,958.0,853.0,5.971869889875823,0
172,1099.0,837.0,0.0,0
173,1099.0,837.0,33.56083437455761,0
174,1099.0,824.0,41.48330918821506,0
175,1098.0,809.0,43.528413512991385,0
176,1097.0,794.0,19.892398864623026,0
177,1100.0,788.0,35.92079841048713,0
178,1100.0,776.0,182.79925717087042,0
179,1123.0,721.0,180.01377526237962,0
180,1146.0,666.0,6.70600901110131,0
181,1144.2857142857142,667.3714285714286,6.630404506133289,0
182,1142.5714285714287,668.7428571428571,6.665919198921613,0
183,1140.857142857143,670.1142857142858,5.079190941463979,0
184,1139.142857142857,671.4857142857143,6.6521223513816565,0
185,1137.4285714285713,672.8571428571429,6.75006571869488,0
186,1135.7142857142858,674.2285714285714,6.768702631994317,0
187,1134.0,675.6,6.6488272835370426,0
188,1132.2857142857142,676.9714285714285,6.640369222291996,0
189,1130.5714285714287,678.3428571428572,6.607661353629133,0
190,1128.857142857143,679.7142857142857,6.337983909376109,0
191,1127.142857142857,681.0857142857143,6.272509761025174,0
192,1125.4285714285713,682.4571428571428,6.53273474661261,0
193,1123.7142857142858,683.8285714285714,6.54149686501488,0
194,1122.0,685.2,6.720290465258431,0
195,1120.2857142857142,686.5714285714286,6.7843621745828075,0
196,1118.5714285714287,687.9428571428572,6.563159148946221,0
197,1116.857142857143,689.3142857142857,5.032727588747608,0
198,1115.142857142857,690.6857142857143,6.684278107020288,0
199,1113.4285714285713,692.0571428571428,6.622278969508888,0
200,1111.7142857142858,693.4285714285714,6.611760690520768,0
201,1110.0,694.8,6.706238560391629,0
202,1108.2857142857142,696.1714285714286,6.759922144196412,0
203,1106.5714285714287,697.5428571428572,6.733199821510764,0
204,1104.857142857143,698.9142857142857,6.67024094819706,0
