x,y,V,bounce
961.0,856.0,22.707045965793675,0
954.0,852.0,0.0,0
954.0,852.0,0.0,0
954.0,852.0,0.0,0
954.0,852.0,0.0,0
954.0,852.0,0.0,0
954.0,852.0,0.0,0
954.0,852.0,16.145012856402982,0
959.0,854.0,12.12326481110502,0
960.0,850.0,0.0,0
960.0,850.0,0.0,0
960.0,850.0,0.0,0
960.0,850.0,0.0,0
960.0,850.0,0.0,0
960.0,850.0,0.0,0
960.0,850.0,0.0,0
960.0,850.0,4.182313639957838,0
959.0,851.0,0.0,0
959.0,851.0,0.0,0
959.0,851.0,0.0,0
959.0,851.0,2.9082699405560537,0
958.0,851.0,2.924724824539689,0
959.0,851.0,0.0,0
959.0,851.0,0.0,0
959.0,851.0,0.0,0
959.0,851.0,0.0,0
959.0,851.0,0.0,0
959.0,851.0,15.9614741976682,0
961.0,856.0,136.47516009772087,0
938.2,817.4,132.59019218287864,0
915.4,778.8,102.51049417261083,0
892.6,740.2,132.3629230842021,0
869.8,701.6,129.8261571467977,0
847.0,663.0,54.35688600501727,0
845.0,639.0,50.33510693730667,0
843.0,617.0,59.39741034977772,0
841.0,597.0,0.0,0
841.0,597.0,43.71467804344371,0
838.0,582.0,43.83470638680747,0
835.0,563.0,38.719135830960994,0
835.0,550.0,29.90852419947596,0
833.0,540.0,39.56581112488225,0
830.0,527.0,0.0,0
830.0,527.0,29.79236459481339,0
829.0,517.0,20.678966496501314,0
828.0,510.0,18.25620124123895,0
824.0,503.0,11.836212327627013,0
823.0,499.0,10.798775604451615,0
821.0,496.0,0.0,0
821.0,496.0,2.9507304533552454,0
820.0,496.0,5.954181394886646,0
818.0,496.0,11.932535138541372,0
818.0,500.0,13.252688672596237,0
816.0,504.0,24.09921451524757,0
815.0,512.0,0.0,0
815.0,512.0,18.34072505155028,0
813.0,518.0,123.22086320625601,0
852.0,506.25,123.34950991801703,0
891.0,494.5,122.06872575021347,0
930.0,482.75,123.50583027058002,0
969.0,471.0,122.85711033802293,0
1008.0,459.25,122.76185399566016,0
1047.0,447.5,116.75434241204505,0
1086.0,435.75,118.58278361648472,0
1125.0,424.0,91.090875724496,0
1155.5,418.5,91.5430639429338,0
1186.0,413.0,0.0,0
1186.0,413.0,77.06397784706257,0
1212.0,412.0,120.51000915148184,1
1230.3333333333333,376.3333333333333,121.13191634055316,0
1248.6666666666667,340.6666666666667,118.24575098436596,0
1267.0,305.0,67.41939201801479,0
1278.5,285.5,68.89384345023983,0
1290.0,266.0,68.6961155496232,0
1301.5,246.5,67.72764122811986,0
1313.0,227.0,67.108547643602,0
1327.0,209.0,45.9402072089042,0
1312.0,212.33333333333334,46.685399218788255,0
1297.0,215.66666666666666,46.32353591737116,0
1282.0,219.0,46.26882953451079,0
1267.0,222.33333333333334,45.57041926828838,0
1252.0,225.66666666666666,45.39996223719376,0
1237.0,229.0,82.83290095078534,0
1210.0,238.0,76.5371529986789,0
1187.0,250.0,0.0,0
1187.0,250.0,73.12330602774378,0
1166.0,263.0,85.98997898627064,0
1142.0,279.0,95.73032251869012,0
1116.5,298.0,91.01031268282858,0
1091.0,317.0,88.42089285839769,0
1067.0,335.0,0.0,0
1067.0,335.0,94.68661132503486,0
1043.0,356.0,102.47654405679124,0
1018.0,381.0,98.33257617563159,0
992.0,403.0,98.14319379918713,0
970.3333333333334,428.0,100.50506583189915,0
948.6666666666666,453.0,76.174725869836,0
927.0,478.0,97.76873685670257,0
905.3333333333334,503.0,101.2141350678608,0
883.6666666666666,528.0,98.1497888234321,0
862.0,553.0,123.31519170134418,0
837.0,588.0,136.17993905874368,0
810.0,627.0,0.0,0
810.0,627.0,125.7092040847264,0
787.0,663.0,137.41146970530366,0
759.0,700.0,39.435687010912176,1
742.0,695.0,48.779655024626415,0
726.0,691.0,59.460106209544115,0
706.0,691.0,0.0,0
706.0,691.0,34.27902792860599,0
691.0,692.0,52.769984600742085,0
673.0,694.0,51.6154462667831,0
656.0,698.0,61.15997706159603,0
637.0,706.0,60.00901446870399,0
619.0,715.0,0.0,0
619.0,715.0,69.54959538443138,0
599.0,727.0,54.60154399842609,0
583.0,736.0,113.06431936537028,0
588.0,698.0,160.72058335667134,0
608.5,646.5,159.85080142815508,0
629.0,595.0,9.398830094809831,0
628.0,592.0,110.54258480624661,0
646.0,546.0,108.41928367161862,0
662.0,512.75,110.33098342370171,0
678.0,479.5,111.43231603860917,0
694.0,446.25,111.0131658819839,0
710.0,413.0,0.0,0
710.0,413.0,81.38463489138996,0
723.0,389.0,62.82204123614123,0
734.0,371.0,57.64666385567233,0
